ID	Time Commitment	Budget (per semester)	Career Change?	Target Timeline	Adopter Category
38	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Innovator
39	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Adopter
40	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
41	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible	Early Majority
42	10-15 hours per week	$10,000-$15,000	Yes	2-3 years	Early Adopter
43	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years	Innovator
44	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
45	10-15 hours per week	$12,000-$15,000	Yes	2-3 years	Early Adopter
46	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	3-5 years	Early Majority
47	5-10 hours per week (1 course)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
48	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible	Early Majority
49	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
50	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Adopter
51	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
52	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Early Majority
53	15-20 hours per week (2 courses)	$10,000-$15,000	No	2-3 years	Early Adopter
54	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Adopter
55	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years	Early Majority
56	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years	Innovator
57	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
58	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	1-2 years	Early Adopter
59	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Majority
60	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	3-5 years	Early Adopter
61	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years	Early Majority
62	10-15 hours per week	$12,000-$15,000	No	2-3 years	Early Majority
63	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
64	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible	Early Majority
65	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
66	5-10 hours per week (1 course)	$3,500-$6,000	Yes	3-5 years	Early Majority
67	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
68	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years	Late Majority
69	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	1-2 years	Innovator
70	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years	Innovator
71	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Early Majority
72	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years	Early Adopter
73	10-15 hours per week	$10,000-$12,000	No	2-3 years	Early Adopter
74	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years	Early Adopter
75	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years	Innovator
76	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years	Early Majority
77	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
78	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years	Early Majority
79	15-20 hours per week (2 courses)	$10,000-$12,000	No	3-5 years or flexible	Innovator
80	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	1-2 years	Innovator
81	5-10 hours per week (1 course)	$5,000-$8,000	Yes	3-5 years	Early Majority
82	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Adopter
83	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	1-2 years	Innovator
84	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible	Early Majority
85	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible	Early Adopter
86	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Innovator
87	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Innovator
88	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years	Early Adopter
89	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Innovator
90	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years	Early Majority
91	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
92	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Innovator
93	10-15 hours per week	$12,000-$15,000	Yes	3-5 years	Early Majority
94	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Innovator
95	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Adopter
96	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible	Early Adopter
97	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Adopter
98	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Early Adopter
99	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years	Early Majority
100	5-10 hours per week (part-time)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
101	5-10 hours per week (1 course)	$10,000-$12,000	No	3-5 years or flexible	Late Majority
102	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years	Early Adopter
103	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years	Early Majority
104	10-15 hours per week	$6,000-$8,000	No	2-3 years	Innovator
105	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Innovator
106	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
107	10-15 hours per week	$5,000-$8,000	No	2-3 years	Early Adopter
108	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Innovator
109	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Early Adopter
110	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
111	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years	Innovator
112	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
113	15-20 hours per week (2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
114	10-15 hours per week	$10,000-$12,000	Yes	1-2 years	Innovator
115	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years	Early Majority
116	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Early Adopter
117	5-10 hours per week (1 course)	$5,000-$8,000	Yes	3-5 years	Early Majority
118	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Majority
119	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
120	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Early Adopter
121	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
122	20+ hours per week (full-time)	$8,000-$12,000	No	2-3 years	Innovator
123	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Majority
124	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years	Late Majority
125	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Adopter
126	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible	Innovator
127	10-15 hours per week	$5,000-$8,000	Yes	1-2 years	Innovator
128	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
129	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
130	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years	Early Adopter
131	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years	Early Majority
132	10-15 hours per week	$12,000-$15,000	No	2-3 years	Early Majority
133	5-10 hours per week (1 course)	$6,000-$8,000	Yes	3-5 years	Early Majority
134	10-15 hours per week	$5,000-$8,000	Yes	2-3 years	Early Adopter
135	10-15 hours per week	$6,000-$8,000	Yes	1-2 years	Early Adopter
136	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible	Early Majority
137	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Majority
138	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible	Early Adopter
139	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Majority
140	5-10 hours per week (part-time)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
141	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years	Early Majority
142	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	1-2 years	Innovator
143	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Early Majority
144	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years	Early Adopter
145	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
146	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible	Early Adopter
147	10-15 hours per week	$10,000-$12,000	No	2-3 years	Innovator
148	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years	Early Adopter
149	5-10 hours per week (part-time)	$4,000-$6,000	No	2-3 years	Innovator
150	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
151	15-20 hours per week (2 courses)	$12,000-$15,000	No	2-3 years	Innovator
152	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years	Early Majority
153	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years	Early Adopter
154	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	3-5 years	Early Majority
155	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Innovator
156	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years	Early Adopter
157	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years	Early Adopter
158	5-10 hours per week (1 course)	$12,000-$15,000	No	3-5 years or flexible	Early Majority
159	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Early Majority
160	5-10 hours per week (1 course)	$2,000-$4,000	Yes	3-5 years	Late Majority
161	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible	Early Adopter
162	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Innovator
163	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
164	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible	Early Majority
165	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	3-5 years or flexible	Early Adopter
166	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
167	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years	Early Majority
168	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years	Early Majority
169	20+ hours per week (full-time)	$8,000-$12,000	Yes	1-2 years	Innovator
170	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
171	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
172	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
173	10-15 hours per week	$5,000-$8,000	Yes	3-5 years	Early Majority
174	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Innovator
175	20+ hours per week (full-time)	$12,000-$15,000	Yes	2-3 years	Innovator
176	5-10 hours per week (1 course)	$8,000-$12,000	No	3-5 years or flexible	Early Majority
177	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
178	5-10 hours per week (part-time)	$3,500-$6,000	No	2-3 years	Early Adopter
179	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible	Early Majority
180	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years	Late Majority
181	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years	Early Majority
182	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Early Majority
183	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Early Adopter
184	5-10 hours per week (part-time)	$12,000-$15,000	No	3-5 years or flexible	Early Adopter
185	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
186	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
187	5-10 hours per week (part-time)	$8,000-$12,000	Yes	3-5 years	Early Majority
188	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years	Innovator
189	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Adopter
190	10-15 hours per week	$12,000-$15,000	Yes	1-2 years	Innovator
191	10-15 hours per week	$10,000-$12,000	Yes	3-5 years	Early Majority
192	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years	Early Majority
193	10-15 hours per week	$10,000-$15,000	No	2-3 years	Early Adopter
194	10-15 hours per week	$12,000-$15,000	Yes	2-3 years	Early Adopter
195	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
196	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Early Adopter
197	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
198	5-10 hours per week (part-time)	$2,000-$4,000	Yes	1-2 years	Innovator
199	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Majority
200	10-15 hours per week	$12,000-$15,000	No	2-3 years	Early Adopter
201	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Early Adopter
202	10-15 hours per week	$6,000-$8,000	No	2-3 years	Innovator
203	5-10 hours per week (1 course)	$4,000-$6,000	Yes	1-2 years	Innovator
204	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Early Adopter
205	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Innovator
206	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years	Early Adopter
207	10-15 hours per week	$5,000-$8,000	No	2-3 years	Innovator
208	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
209	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Adopter
210	5-10 hours per week (part-time)	$2,500-$4,000	Yes	3-5 years	Late Majority
211	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Early Adopter
212	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years	Early Adopter
213	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years	Early Majority
214	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
215	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible	Early Adopter
216	5-10 hours per week (1 course)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
217	5-10 hours per week (1 course)	$2,500-$4,000	Yes	3-5 years	Early Majority
218	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years	Early Majority
219	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
220	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible	Early Adopter
221	5-10 hours per week (part-time)	$4,000-$6,000	No	3-5 years or flexible	Early Adopter
222	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Adopter
223	20+ hours per week (full-time)	$10,000-$12,000	Yes	1-2 years	Innovator
224	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Early Majority
225	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years	Early Majority
226	5-10 hours per week (1 course)	$8,000-$12,000	Yes	3-5 years	Early Adopter
227	5-10 hours per week (part-time)	$10,000-$15,000	Yes	3-5 years	Early Majority
228	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
229	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years	Early Majority
230	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years	Early Adopter
231	5-10 hours per week (1 course)	$2,000-$4,000	Yes	2-3 years	Early Majority
232	10-15 hours per week	$8,000-$12,000	Yes	2-3 years	Early Adopter
233	10-15 hours per week	$12,000-$15,000	Yes	2-3 years	Innovator
234	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Early Adopter
235	5-10 hours per week (1 course)	$12,000-$15,000	No	3-5 years or flexible	Early Majority
236	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible	Early Adopter
237	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years	Early Majority
238	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years	Innovator
239	5-10 hours per week (part-time)	$6,000-$8,000	No	3-5 years or flexible	Late Majority
240	10-15 hours per week	$6,000-$8,000	Yes	1-2 years	Innovator
241	10-15 hours per week	$6,000-$8,000	Yes	2-3 years	Early Majority
242	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Innovator
243	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible	Early Adopter
244	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible	Early Adopter
245	10-15 hours per week	$10,000-$15,000	No	2-3 years	Early Adopter
246	10-15 hours per week	$6,000-$8,000	Yes	3-5 years	Early Adopter
247	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years	Early Majority
248	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Innovator
249	5-10 hours per week (part-time)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
250	5-10 hours per week (part-time)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
251	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
252	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Adopter
253	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Early Majority
254	5-10 hours per week (part-time)	$5,000-$8,000	Yes	3-5 years	Early Adopter
255	20+ hours per week (full-time)	$12,000-$15,000	No	2-3 years	Innovator
256	5-10 hours per week (part-time)	$4,000-$6,000	Yes	3-5 years	Early Majority
257	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	3-5 years or flexible	Innovator
258	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
259	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Early Adopter
260	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
261	5-10 hours per week (1 course)	$3,500-$6,000	Yes	1-2 years	Innovator
262	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years	Innovator
263	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	2-3 years	Early Adopter
264	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years	Innovator
265	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	2-3 years	Innovator
266	20+ hours per week (full-time)	$10,000-$12,000	Yes	2-3 years	Early Adopter
267	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible	Early Adopter
268	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years	Early Adopter
269	10-15 hours per week	$10,000-$12,000	No	2-3 years	Innovator
270	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
271	10-15 hours per week	$8,000-$12,000	Yes	1-2 years	Innovator
272	5-10 hours per week (1 course)	$5,000-$8,000	Yes	3-5 years	Early Majority
273	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years	Innovator
274	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Adopter
275	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years	Early Adopter
276	5-10 hours per week (part-time)	$4,000-$6,000	Yes	1-2 years	Early Adopter
277	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Innovator
278	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years	Early Adopter
279	5-10 hours per week (part-time)	$10,000-$15,000	No	3-5 years or flexible	Early Majority
280	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years	Early Majority
281	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years	Early Majority
282	10-15 hours per week	$10,000-$15,000	No	2-3 years	Innovator
283	10-15 hours per week	$8,000-$12,000	Yes	2-3 years	Early Adopter
284	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible	Early Adopter
285	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years	Early Adopter
286	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years	Late Majority
287	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible	Early Majority
288	5-10 hours per week (1 course)	$2,000-$4,000	Yes	1-2 years	Early Adopter
289	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years	Early Adopter
290	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years	Early Adopter
291	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years	Early Adopter
292	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible	Early Majority
293	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years	Innovator
294	10-15 hours per week	$12,000-$15,000	No	3-5 years or flexible	Early Majority
295	10-15 hours per week	$10,000-$15,000	Yes	2-3 years	Early Adopter
296	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Early Adopter
297	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years	Innovator
298	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Majority
299	10-15 hours per week	$12,000-$15,000	No	2-3 years	Innovator
300	5-10 hours per week (part-time)	$8,000-$12,000	Yes	3-5 years	Early Majority
301	15-20 hours per week (2 courses)	$12,000-$15,000	No	2-3 years	Early Adopter
302	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years	Innovator
303	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years	Early Adopter
304	10-15 hours per week	$5,000-$8,000	No	2-3 years	Early Adopter
305	10-15 hours per week	$8,000-$12,000	No	3-5 years or flexible	Innovator
306	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years	Early Adopter
307	20+ hours per week (full-time)	$12,000-$15,000	No	2-3 years	Innovator
308	10-15 hours per week	$8,000-$12,000	Yes	2-3 years	Early Adopter
309	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years	Early Adopter
310	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	3-5 years	Early Adopter
311	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
312	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years	Innovator
313	10-15 hours per week	$8,000-$12,000	No	2-3 years	Early Adopter
314	20+ hours per week (full-time)	$12,000-$15,000	Yes	2-3 years	Early Adopter
315	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years	Early Adopter
316	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible	Early Majority
317	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years	Early Adopter
318	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years	Early Adopter
319	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years	Early Majority
320	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible	Early Majority
321	5-10 hours per week (1 course)	$2,000-$4,000	No	3-5 years or flexible	Late Majority
322	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	1-2 years	Innovator
323	10-15 hours per week	$12,000-$15,000	Yes	1-2 years	Innovator
324	10-15 hours per week	$12,000-$15,000	Yes	3-5 years	Early Adopter
325	10-15 hours per week	$10,000-$12,000	Yes	2-3 years	Early Adopter
326	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years	Innovator
327	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible	Early Majority
328	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years	Early Majority
329	10-15 hours per week	$8,000-$12,000	Yes	3-5 years	Early Adopter
330	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years	Innovator
331	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible	Early Majority
332	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years	Innovator
