ID	Profile	Age	Gender	Location	Current Role	Desired Field	Income Range	Education Level	Time Commitment	Adopter Category
22	Career Changer / Adult Learner	34	Non-binary	India	Nurse	Data Science	$90k–$120k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
23	Career Changer / Adult Learner	48	Non-binary	Canada	Nurse	Healthcare Administration	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Majority
24	Career Changer / Adult Learner	53	Female	Germany	Nurse	MBA	$120k+	Bachelor's	5-10 hours per week (part-time)	Early Majority
25	Working Professional Considering Graduate Degrees	48	Female	US	Teacher	UX Design	$120k+	Master's	10-15 hours per week (1-2 courses)	Early Adopter
26	Working Professional Considering Graduate Degrees	32	Male	Australia	Teacher	AI & Machine Learning	$70k–$90k	Master's	10-15 hours per week	Innovator
27	Working Professional Considering Graduate Degrees	40	Prefer not to say	UK	HR Coordinator	MBA	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
28	Career Changer / Adult Learner	30	Male	Australia	Sales Manager	Public Policy	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
29	Career Changer / Adult Learner	48	Male	Germany	Sales Manager	Public Policy	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
30	Working Professional Considering Graduate Degrees	41	Male	Germany	Accountant	Healthcare Administration	$30k–$50k	Master's	5-10 hours per week (part-time)	Early Adopter
31	Working Professional Considering Graduate Degrees	27	Male	Australia	Marketing Specialist	Cybersecurity	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
32	Working Professional Considering Graduate Degrees	28	Male	India	Sales Manager	UX Design	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Innovator
33	Working Professional Considering Graduate Degrees	39	Prefer not to say	India	HR Coordinator	Finance	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
34	Working Professional Considering Graduate Degrees	39	Male	US	HR Coordinator	MBA	$90k–$120k	Associate	15-20 hours per week (2 courses)	Early Adopter
35	Working Professional Considering Graduate Degrees	46	Non-binary	Germany	Marketing Specialist	Finance	$120k+	Master's	10-15 hours per week (1-2 courses)	Early Adopter
36	Working Professional Considering Graduate Degrees	25	Prefer not to say	Canada	Sales Manager	Data Science	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Adopter
37	Career Changer / Adult Learner	50	Prefer not to say	US	Technician	Finance	$70k–$90k	Associate	5-10 hours per week (part-time)	Early Majority
38	Working Professional Considering Graduate Degrees	27	Male	Germany	Technician	MBA	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
39	Career Changer / Adult Learner	40	Non-binary	India	Software Engineer	AI & Machine Learning	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
40	Career Changer / Adult Learner	49	Non-binary	UK	Nurse	Finance	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
41	Working Professional Considering Graduate Degrees	47	Non-binary	UK	Technician	Healthcare Administration	$120k+	Some College	10-15 hours per week	Early Majority
42	Career Changer / Adult Learner	42	Non-binary	Canada	Accountant	Cybersecurity	$120k+	Bachelor's	10-15 hours per week	Early Adopter
43	Career Changer / Adult Learner	25	Female	Germany	Marketing Specialist	Finance	$50k–$70k	Master's	5-10 hours per week (1 course)	Innovator
44	Career Changer / Adult Learner	52	Female	Canada	Sales Manager	MBA	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
45	Career Changer / Adult Learner	40	Female	UK	Sales Manager	Public Policy	$120k+	Bachelor's	10-15 hours per week	Early Adopter
46	Career Changer / Adult Learner	46	Non-binary	US	Teacher	Cybersecurity	$90k–$120k	Some College	10-15 hours per week (1-2 courses)	Early Majority
47	Working Professional Considering Graduate Degrees	55	Male	India	Marketing Specialist	MBA	$90k–$120k	Master's	5-10 hours per week (1 course)	Early Majority
48	Working Professional Considering Graduate Degrees	43	Male	Canada	HR Coordinator	Data Science	$90k–$120k	Some College	10-15 hours per week (1-2 courses)	Early Majority
49	Working Professional Considering Graduate Degrees	46	Non-binary	Canada	Technician	Public Policy	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
50	Career Changer / Adult Learner	37	Non-binary	Canada	Marketing Specialist	Public Policy	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
51	Working Professional Considering Graduate Degrees	54	Female	India	Sales Manager	Cybersecurity	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Majority
52	Career Changer / Adult Learner	52	Male	Canada	Nurse	Data Science	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Majority
53	Working Professional Considering Graduate Degrees	31	Male	US	Teacher	MBA	$120k+	Some College	15-20 hours per week (2 courses)	Early Adopter
54	Working Professional Considering Graduate Degrees	40	Prefer not to say	Canada	Software Engineer	Finance	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
55	Career Changer / Adult Learner	51	Prefer not to say	Canada	Marketing Specialist	Cybersecurity	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Majority
56	Career Changer / Adult Learner	32	Male	Canada	HR Coordinator	MBA	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
57	Career Changer / Adult Learner	49	Male	US	Teacher	Public Policy	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
58	Career Changer / Adult Learner	30	Male	Canada	Marketing Specialist	MBA	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
59	Career Changer / Adult Learner	37	Non-binary	UK	Accountant	UX Design	$90k–$120k	Some College	10-15 hours per week	Early Majority
60	Career Changer / Adult Learner	49	Prefer not to say	India	Nurse	Public Policy	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Early Adopter
61	Career Changer / Adult Learner	48	Male	UK	Technician	AI & Machine Learning	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Majority
62	Working Professional Considering Graduate Degrees	36	Female	Australia	Nurse	AI & Machine Learning	$120k+	Some College	10-15 hours per week	Early Majority
63	Working Professional Considering Graduate Degrees	43	Female	UK	Marketing Specialist	MBA	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
64	Working Professional Considering Graduate Degrees	40	Female	Germany	HR Coordinator	MBA	$120k+	Some College	10-15 hours per week	Early Majority
65	Working Professional Considering Graduate Degrees	47	Female	India	Software Engineer	Public Policy	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Majority
66	Career Changer / Adult Learner	49	Non-binary	Germany	Sales Manager	Public Policy	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
67	Working Professional Considering Graduate Degrees	54	Female	UK	Technician	Cybersecurity	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
68	Career Changer / Adult Learner	53	Male	India	Accountant	UX Design	$90k–$120k	Some College	5-10 hours per week (1 course)	Late Majority
69	Career Changer / Adult Learner	25	Female	US	Teacher	Healthcare Administration	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Innovator
70	Working Professional Considering Graduate Degrees	35	Female	Germany	Accountant	Public Policy	$120k+	Master's	10-15 hours per week (1-2 courses)	Innovator
71	Working Professional Considering Graduate Degrees	47	Prefer not to say	US	Accountant	MBA	$90k–$120k	Some College	10-15 hours per week	Early Majority
72	Career Changer / Adult Learner	51	Non-binary	Australia	Technician	Healthcare Administration	$90k–$120k	Master's	5-10 hours per week (1 course)	Early Adopter
73	Working Professional Considering Graduate Degrees	29	Prefer not to say	Australia	Teacher	Finance	$90k–$120k	Associate	10-15 hours per week	Early Adopter
74	Career Changer / Adult Learner	47	Non-binary	UK	Nurse	Finance	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
75	Working Professional Considering Graduate Degrees	25	Prefer not to say	UK	Sales Manager	Data Science	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Innovator
76	Working Professional Considering Graduate Degrees	36	Non-binary	Australia	Software Engineer	Data Science	$90k–$120k	Some College	10-15 hours per week (1-2 courses)	Early Majority
77	Career Changer / Adult Learner	43	Non-binary	Australia	Software Engineer	Data Science	$90k–$120k	Associate	10-15 hours per week	Early Adopter
78	Career Changer / Adult Learner	51	Prefer not to say	India	Nurse	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Majority
79	Working Professional Considering Graduate Degrees	43	Male	US	HR Coordinator	Data Science	$90k–$120k	Master's	15-20 hours per week (2 courses)	Innovator
80	Career Changer / Adult Learner	29	Male	Australia	Marketing Specialist	Data Science	$90k–$120k	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
81	Career Changer / Adult Learner	52	Prefer not to say	Germany	Technician	Public Policy	$70k–$90k	Some College	5-10 hours per week (1 course)	Early Majority
82	Career Changer / Adult Learner	52	Non-binary	Australia	Teacher	Finance	$50k–$70k	Master's	5-10 hours per week (part-time)	Early Adopter
83	Career Changer / Adult Learner	30	Non-binary	UK	Sales Manager	AI & Machine Learning	$70k–$90k	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
84	Working Professional Considering Graduate Degrees	53	Non-binary	US	Technician	Healthcare Administration	$90k–$120k	Bachelor's	5-10 hours per week (part-time)	Early Majority
85	Working Professional Considering Graduate Degrees	42	Male	Germany	Sales Manager	UX Design	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
86	Working Professional Considering Graduate Degrees	28	Prefer not to say	UK	Teacher	MBA	$120k+	Master's	10-15 hours per week (1-2 courses)	Innovator
87	Career Changer / Adult Learner	29	Prefer not to say	US	Sales Manager	Finance	$70k–$90k	Master's	10-15 hours per week	Innovator
88	Working Professional Considering Graduate Degrees	38	Female	India	Marketing Specialist	Data Science	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
89	Career Changer / Adult Learner	27	Prefer not to say	India	Software Engineer	Finance	$70k–$90k	Master's	10-15 hours per week	Innovator
90	Career Changer / Adult Learner	30	Female	India	Marketing Specialist	Public Policy	$50k–$70k	Some College	5-10 hours per week (part-time)	Early Majority
91	Career Changer / Adult Learner	48	Prefer not to say	UK	HR Coordinator	Finance	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Majority
92	Working Professional Considering Graduate Degrees	30	Male	Germany	Sales Manager	Data Science	$30k–$50k	Master's	5-10 hours per week (1 course)	Innovator
93	Career Changer / Adult Learner	47	Male	Australia	Accountant	Cybersecurity	$120k+	Associate	10-15 hours per week	Early Majority
94	Career Changer / Adult Learner	35	Male	Germany	Marketing Specialist	Public Policy	$30k–$50k	Master's	5-10 hours per week (1 course)	Innovator
95	Career Changer / Adult Learner	32	Non-binary	UK	Teacher	Public Policy	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Adopter
96	Working Professional Considering Graduate Degrees	46	Non-binary	Australia	Accountant	UX Design	$120k+	Bachelor's	10-15 hours per week	Early Adopter
97	Working Professional Considering Graduate Degrees	42	Prefer not to say	India	Software Engineer	Public Policy	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
98	Career Changer / Adult Learner	31	Prefer not to say	UK	Sales Manager	Finance	$70k–$90k	Some College	10-15 hours per week	Early Adopter
99	Career Changer / Adult Learner	50	Prefer not to say	Canada	Teacher	Finance	$90k–$120k	Bachelor's	5-10 hours per week (1 course)	Early Majority
100	Working Professional Considering Graduate Degrees	55	Female	Canada	Technician	Healthcare Administration	$70k–$90k	Bachelor's	5-10 hours per week (part-time)	Early Majority
101	Working Professional Considering Graduate Degrees	54	Non-binary	Australia	Sales Manager	AI & Machine Learning	$90k–$120k	Some College	5-10 hours per week (1 course)	Late Majority
102	Career Changer / Adult Learner	43	Male	Australia	Marketing Specialist	Data Science	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
103	Career Changer / Adult Learner	42	Prefer not to say	UK	Sales Manager	Healthcare Administration	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Majority
104	Working Professional Considering Graduate Degrees	31	Male	UK	Software Engineer	UX Design	$70k–$90k	Master's	10-15 hours per week	Innovator
105	Career Changer / Adult Learner	39	Female	Canada	Teacher	Public Policy	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Innovator
106	Working Professional Considering Graduate Degrees	40	Male	US	Teacher	MBA	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Majority
107	Working Professional Considering Graduate Degrees	35	Male	UK	Technician	Healthcare Administration	$70k–$90k	Some College	10-15 hours per week	Early Adopter
108	Working Professional Considering Graduate Degrees	32	Prefer not to say	US	Software Engineer	Data Science	$30k–$50k	Master's	5-10 hours per week (part-time)	Innovator
109	Career Changer / Adult Learner	31	Non-binary	US	Technician	AI & Machine Learning	$70k–$90k	Some College	10-15 hours per week	Early Adopter
110	Working Professional Considering Graduate Degrees	24	Prefer not to say	US	HR Coordinator	Public Policy	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Adopter
111	Career Changer / Adult Learner	31	Male	Australia	Accountant	Finance	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
112	Working Professional Considering Graduate Degrees	45	Prefer not to say	India	Nurse	AI & Machine Learning	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Majority
113	Career Changer / Adult Learner	36	Female	US	Software Engineer	Healthcare Administration	$90k–$120k	Associate	15-20 hours per week (2 courses)	Early Adopter
114	Career Changer / Adult Learner	29	Prefer not to say	India	HR Coordinator	MBA	$90k–$120k	Bachelor's	10-15 hours per week	Innovator
115	Career Changer / Adult Learner	53	Prefer not to say	Germany	Software Engineer	MBA	$90k–$120k	Associate	5-10 hours per week (1 course)	Early Majority
116	Working Professional Considering Graduate Degrees	31	Prefer not to say	UK	Nurse	Public Policy	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Adopter
117	Career Changer / Adult Learner	55	Non-binary	UK	Marketing Specialist	UX Design	$70k–$90k	Bachelor's	5-10 hours per week (1 course)	Early Majority
118	Working Professional Considering Graduate Degrees	38	Prefer not to say	Canada	Teacher	Healthcare Administration	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
119	Working Professional Considering Graduate Degrees	49	Non-binary	Germany	Marketing Specialist	AI & Machine Learning	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Majority
120	Working Professional Considering Graduate Degrees	27	Female	UK	Accountant	Data Science	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Adopter
121	Working Professional Considering Graduate Degrees	48	Male	Canada	Sales Manager	UX Design	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
122	Working Professional Considering Graduate Degrees	26	Non-binary	US	Accountant	Data Science	$90k–$120k	Bachelor's	20+ hours per week (full-time)	Innovator
123	Working Professional Considering Graduate Degrees	42	Non-binary	Germany	HR Coordinator	Healthcare Administration	$70k–$90k	Some College	10-15 hours per week	Early Majority
124	Career Changer / Adult Learner	54	Non-binary	UK	Accountant	UX Design	$50k–$70k	Some College	5-10 hours per week (part-time)	Late Majority
125	Career Changer / Adult Learner	32	Non-binary	Canada	Software Engineer	Healthcare Administration	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Adopter
126	Working Professional Considering Graduate Degrees	45	Non-binary	Canada	Teacher	UX Design	$70k–$90k	Master's	10-15 hours per week (1-2 courses)	Innovator
127	Career Changer / Adult Learner	24	Male	Australia	Teacher	Data Science	$70k–$90k	Associate	10-15 hours per week	Innovator
128	Career Changer / Adult Learner	54	Female	UK	HR Coordinator	Cybersecurity	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
129	Working Professional Considering Graduate Degrees	47	Prefer not to say	India	Technician	Public Policy	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Majority
130	Career Changer / Adult Learner	30	Female	Canada	Accountant	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
131	Working Professional Considering Graduate Degrees	36	Prefer not to say	Germany	Nurse	Cybersecurity	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
132	Working Professional Considering Graduate Degrees	36	Female	Canada	Nurse	UX Design	$120k+	Some College	10-15 hours per week	Early Majority
133	Career Changer / Adult Learner	50	Male	Australia	Technician	Cybersecurity	$70k–$90k	Associate	5-10 hours per week (1 course)	Early Majority
134	Career Changer / Adult Learner	38	Female	UK	HR Coordinator	Finance	$70k–$90k	Bachelor's	10-15 hours per week	Early Adopter
135	Career Changer / Adult Learner	29	Non-binary	India	Software Engineer	Finance	$70k–$90k	Some College	10-15 hours per week	Early Adopter
136	Working Professional Considering Graduate Degrees	44	Female	India	Teacher	Cybersecurity	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Majority
137	Career Changer / Adult Learner	40	Male	Germany	HR Coordinator	Data Science	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
138	Working Professional Considering Graduate Degrees	49	Prefer not to say	Australia	Technician	AI & Machine Learning	$120k+	Bachelor's	10-15 hours per week	Early Adopter
139	Working Professional Considering Graduate Degrees	36	Male	US	Software Engineer	Public Policy	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
140	Working Professional Considering Graduate Degrees	52	Non-binary	Germany	Sales Manager	UX Design	$70k–$90k	Bachelor's	5-10 hours per week (part-time)	Early Majority
141	Career Changer / Adult Learner	30	Female	US	Technician	Finance	$30k–$50k	Some College	5-10 hours per week (1 course)	Early Majority
142	Career Changer / Adult Learner	30	Prefer not to say	Canada	Technician	UX Design	$90k–$120k	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
143	Working Professional Considering Graduate Degrees	40	Female	Canada	Technician	UX Design	$90k–$120k	Some College	10-15 hours per week	Early Majority
144	Career Changer / Adult Learner	31	Prefer not to say	Germany	Sales Manager	Finance	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Adopter
145	Working Professional Considering Graduate Degrees	53	Male	US	Technician	Public Policy	$90k–$120k	Master's	5-10 hours per week (part-time)	Early Majority
146	Working Professional Considering Graduate Degrees	47	Male	Canada	Teacher	Finance	$120k+	Master's	10-15 hours per week (1-2 courses)	Early Adopter
147	Working Professional Considering Graduate Degrees	24	Non-binary	Canada	HR Coordinator	Data Science	$90k–$120k	Master's	10-15 hours per week	Innovator
148	Career Changer / Adult Learner	25	Prefer not to say	Germany	Marketing Specialist	Data Science	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Adopter
149	Working Professional Considering Graduate Degrees	25	Female	Germany	Teacher	UX Design	$50k–$70k	Master's	5-10 hours per week (part-time)	Innovator
150	Working Professional Considering Graduate Degrees	49	Non-binary	India	Technician	MBA	$30k–$50k	Bachelor's	5-10 hours per week (1 course)	Early Majority
151	Working Professional Considering Graduate Degrees	24	Female	US	Nurse	Finance	$120k+	Some College	15-20 hours per week (2 courses)	Innovator
152	Career Changer / Adult Learner	50	Male	UK	Software Engineer	UX Design	$120k+	Bachelor's	5-10 hours per week (1 course)	Early Majority
153	Working Professional Considering Graduate Degrees	25	Female	Canada	HR Coordinator	Cybersecurity	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Adopter
154	Career Changer / Adult Learner	46	Male	US	Sales Manager	Cybersecurity	$90k–$120k	Associate	10-15 hours per week (1-2 courses)	Early Majority
155	Working Professional Considering Graduate Degrees	44	Prefer not to say	Australia	Nurse	MBA	$90k–$120k	Master's	10-15 hours per week	Innovator
156	Working Professional Considering Graduate Degrees	31	Female	UK	Sales Manager	Finance	$90k–$120k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
157	Career Changer / Adult Learner	47	Non-binary	Australia	Nurse	Public Policy	$50k–$70k	Master's	5-10 hours per week (1 course)	Early Adopter
158	Working Professional Considering Graduate Degrees	54	Non-binary	Australia	Nurse	Healthcare Administration	$120k+	Associate	5-10 hours per week (1 course)	Early Majority
159	Working Professional Considering Graduate Degrees	49	Male	UK	Sales Manager	Finance	$90k–$120k	Associate	10-15 hours per week	Early Majority
160	Career Changer / Adult Learner	55	Non-binary	UK	Teacher	MBA	$30k–$50k	Some College	5-10 hours per week (1 course)	Late Majority
161	Working Professional Considering Graduate Degrees	45	Non-binary	Australia	HR Coordinator	UX Design	$90k–$120k	Associate	10-15 hours per week (1-2 courses)	Early Adopter
162	Working Professional Considering Graduate Degrees	30	Prefer not to say	Australia	Technician	Cybersecurity	$50k–$70k	Master's	5-10 hours per week (1 course)	Innovator
163	Working Professional Considering Graduate Degrees	49	Non-binary	Australia	Nurse	Data Science	$70k–$90k	Bachelor's	10-15 hours per week	Early Adopter
164	Working Professional Considering Graduate Degrees	40	Non-binary	Australia	Technician	Data Science	$120k+	Some College	10-15 hours per week (1-2 courses)	Early Majority
165	Working Professional Considering Graduate Degrees	47	Female	US	Teacher	UX Design	$90k–$120k	Master's	10-15 hours per week (1-2 courses)	Early Adopter
166	Career Changer / Adult Learner	40	Non-binary	UK	Software Engineer	Data Science	$90k–$120k	Associate	10-15 hours per week	Early Adopter
167	Career Changer / Adult Learner	44	Non-binary	India	Sales Manager	AI & Machine Learning	$30k–$50k	Some College	5-10 hours per week (part-time)	Early Majority
168	Career Changer / Adult Learner	50	Prefer not to say	Germany	Software Engineer	Data Science	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
169	Career Changer / Adult Learner	26	Prefer not to say	US	Accountant	MBA	$90k–$120k	Bachelor's	20+ hours per week (full-time)	Innovator
170	Working Professional Considering Graduate Degrees	48	Non-binary	Canada	Software Engineer	Public Policy	$70k–$90k	Associate	10-15 hours per week (1-2 courses)	Early Majority
171	Working Professional Considering Graduate Degrees	43	Non-binary	India	Nurse	Finance	$50k–$70k	Associate	5-10 hours per week (1 course)	Early Majority
172	Working Professional Considering Graduate Degrees	43	Male	India	Nurse	Finance	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
173	Career Changer / Adult Learner	47	Male	India	Nurse	Healthcare Administration	$70k–$90k	Associate	10-15 hours per week	Early Majority
174	Working Professional Considering Graduate Degrees	24	Male	Germany	Sales Manager	Cybersecurity	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Innovator
175	Career Changer / Adult Learner	35	Non-binary	US	Nurse	Public Policy	$120k+	Bachelor's	20+ hours per week (full-time)	Innovator
176	Working Professional Considering Graduate Degrees	50	Female	US	Software Engineer	Healthcare Administration	$90k–$120k	Associate	5-10 hours per week (1 course)	Early Majority
177	Working Professional Considering Graduate Degrees	51	Female	US	Nurse	Cybersecurity	$90k–$120k	Bachelor's	5-10 hours per week (part-time)	Early Majority
178	Working Professional Considering Graduate Degrees	33	Non-binary	India	Technician	Public Policy	$50k–$70k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
179	Working Professional Considering Graduate Degrees	53	Non-binary	India	Sales Manager	UX Design	$50k–$70k	Bachelor's	5-10 hours per week (1 course)	Early Majority
180	Career Changer / Adult Learner	54	Male	Germany	HR Coordinator	Healthcare Administration	$90k–$120k	Some College	5-10 hours per week (part-time)	Late Majority
181	Career Changer / Adult Learner	55	Prefer not to say	Canada	Marketing Specialist	UX Design	$120k+	Associate	5-10 hours per week (part-time)	Early Majority
182	Career Changer / Adult Learner	36	Prefer not to say	India	Sales Manager	Data Science	$50k–$70k	Associate	5-10 hours per week (part-time)	Early Majority
183	Working Professional Considering Graduate Degrees	27	Prefer not to say	Germany	Teacher	AI & Machine Learning	$30k–$50k	Associate	5-10 hours per week (part-time)	Early Adopter
184	Working Professional Considering Graduate Degrees	52	Prefer not to say	Germany	Nurse	MBA	$120k+	Master's	5-10 hours per week (part-time)	Early Adopter
185	Career Changer / Adult Learner	45	Male	Germany	Teacher	Public Policy	$30k–$50k	Associate	5-10 hours per week (1 course)	Early Majority
186	Career Changer / Adult Learner	39	Male	Germany	Technician	UX Design	$90k–$120k	Bachelor's	10-15 hours per week	Early Adopter
187	Career Changer / Adult Learner	52	Male	Germany	Accountant	UX Design	$90k–$120k	Associate	5-10 hours per week (part-time)	Early Majority
188	Working Professional Considering Graduate Degrees	34	Non-binary	Germany	Teacher	Healthcare Administration	$120k+	Bachelor's	10-15 hours per week (1-2 courses)	Innovator
189	Career Changer / Adult Learner	33	Prefer not to say	Germany	Accountant	Healthcare Administration	$30k–$50k	Bachelor's	5-10 hours per week (part-time)	Early Adopter
190	Career Changer / Adult Learner	27	Female	Germany	Teacher	UX Design	$120k+	Bachelor's	10-15 hours per week	Innovator
191	Career Changer / Adult Learner	46	Non-binary	UK	HR Coordinator	Public Policy	$90k–$120k	Some College	10-15 hours per week	Early Majority
192	Career Changer / Adult Learner	36	Female	Germany	HR Coordinator	MBA	$70k–$90k	Some College	10-15 hours per week (1-2 courses)	Early Majority
193	Working Professional Considering Graduate Degrees	36	Non-binary	Australia	Sales Manager	Cybersecurity	$120k+	Associate	10-15 hours per week	Early Adopter
194	Career Changer / Adult Learner	44	Female	Australia	HR Coordinator	UX Design	$120k+	Associate	10-15 hours per week	Early Adopter
