ID	Profile	Age	Gender	Location	Current Role	Desired Field	Income Range	Education Level
72	Career Changer / Adult Learner	51	Non-binary	Australia	Technician	Healthcare Administration	$90k–$120k	Master's
73	Working Professional Considering Graduate Degrees	29	Prefer not to say	Australia	Teacher	Finance	$90k–$120k	Associate
74	Career Changer / Adult Learner	47	Non-binary	UK	Nurse	Finance	$50k–$70k	Master's
75	Working Professional Considering Graduate Degrees	25	Prefer not to say	UK	Sales Manager	Data Science	$90k–$120k	Master's
76	Working Professional Considering Graduate Degrees	36	Non-binary	Australia	Software Engineer	Data Science	$90k–$120k	Some College
77	Career Changer / Adult Learner	43	Non-binary	Australia	Software Engineer	Data Science	$90k–$120k	Associate
78	Career Changer / Adult Learner	51	Prefer not to say	India	Nurse	Healthcare Administration	$30k–$50k	Bachelor's
79	Working Professional Considering Graduate Degrees	43	Male	US	HR Coordinator	Data Science	$90k–$120k	Master's
80	Career Changer / Adult Learner	29	Male	Australia	Marketing Specialist	Data Science	$90k–$120k	Bachelor's
81	Career Changer / Adult Learner	52	Prefer not to say	Germany	Technician	Public Policy	$70k–$90k	Some College
82	Career Changer / Adult Learner	52	Non-binary	Australia	Teacher	Finance	$50k–$70k	Master's
83	Career Changer / Adult Learner	30	Non-binary	UK	Sales Manager	AI & Machine Learning	$70k–$90k	Bachelor's
84	Working Professional Considering Graduate Degrees	53	Non-binary	US	Technician	Healthcare Administration	$90k–$120k	Bachelor's
85	Working Professional Considering Graduate Degrees	42	Male	Germany	Sales Manager	UX Design	$70k–$90k	Associate
86	Working Professional Considering Graduate Degrees	28	Prefer not to say	UK	Teacher	MBA	$120k+	Master's
87	Career Changer / Adult Learner	29	Prefer not to say	US	Sales Manager	Finance	$70k–$90k	Master's
88	Working Professional Considering Graduate Degrees	38	Female	India	Marketing Specialist	Data Science	$50k–$70k	Master's
89	Career Changer / Adult Learner	27	Prefer not to say	India	Software Engineer	Finance	$70k–$90k	Master's
90	Career Changer / Adult Learner	30	Female	India	Marketing Specialist	Public Policy	$50k–$70k	Some College
91	Career Changer / Adult Learner	48	Prefer not to say	UK	HR Coordinator	Finance	$50k–$70k	Bachelor's
92	Working Professional Considering Graduate Degrees	30	Male	Germany	Sales Manager	Data Science	$30k–$50k	Master's
93	Career Changer / Adult Learner	47	Male	Australia	Accountant	Cybersecurity	$120k+	Associate
94	Career Changer / Adult Learner	35	Male	Germany	Marketing Specialist	Public Policy	$30k–$50k	Master's
95	Career Changer / Adult Learner	32	Non-binary	UK	Teacher	Public Policy	$30k–$50k	Associate
96	Working Professional Considering Graduate Degrees	46	Non-binary	Australia	Accountant	UX Design	$120k+	Bachelor's
97	Working Professional Considering Graduate Degrees	42	Prefer not to say	India	Software Engineer	Public Policy	$30k–$50k	Bachelor's
98	Career Changer / Adult Learner	31	Prefer not to say	UK	Sales Manager	Finance	$70k–$90k	Some College
99	Career Changer / Adult Learner	50	Prefer not to say	Canada	Teacher	Finance	$90k–$120k	Bachelor's
100	Working Professional Considering Graduate Degrees	55	Female	Canada	Technician	Healthcare Administration	$70k–$90k	Bachelor's
101	Working Professional Considering Graduate Degrees	54	Non-binary	Australia	Sales Manager	AI & Machine Learning	$90k–$120k	Some College
102	Career Changer / Adult Learner	43	Male	Australia	Marketing Specialist	Data Science	$50k–$70k	Bachelor's
103	Career Changer / Adult Learner	42	Prefer not to say	UK	Sales Manager	Healthcare Administration	$120k+	Some College
104	Working Professional Considering Graduate Degrees	31	Male	UK	Software Engineer	UX Design	$70k–$90k	Master's
105	Career Changer / Adult Learner	39	Female	Canada	Teacher	Public Policy	$90k–$120k	Master's
106	Working Professional Considering Graduate Degrees	40	Male	US	Teacher	MBA	$30k–$50k	Some College
107	Working Professional Considering Graduate Degrees	35	Male	UK	Technician	Healthcare Administration	$70k–$90k	Some College
108	Working Professional Considering Graduate Degrees	32	Prefer not to say	US	Software Engineer	Data Science	$30k–$50k	Master's
109	Career Changer / Adult Learner	31	Non-binary	US	Technician	AI & Machine Learning	$70k–$90k	Some College
110	Working Professional Considering Graduate Degrees	24	Prefer not to say	US	HR Coordinator	Public Policy	$50k–$70k	Associate
111	Career Changer / Adult Learner	31	Male	Australia	Accountant	Finance	$120k+	Bachelor's
112	Working Professional Considering Graduate Degrees	45	Prefer not to say	India	Nurse	AI & Machine Learning	$30k–$50k	Associate
113	Career Changer / Adult Learner	36	Female	US	Software Engineer	Healthcare Administration	$90k–$120k	Associate
114	Career Changer / Adult Learner	29	Prefer not to say	India	HR Coordinator	MBA	$90k–$120k	Bachelor's
115	Career Changer / Adult Learner	53	Prefer not to say	Germany	Software Engineer	MBA	$90k–$120k	Associate
116	Working Professional Considering Graduate Degrees	31	Prefer not to say	UK	Nurse	Public Policy	$50k–$70k	Associate
117	Career Changer / Adult Learner	55	Non-binary	UK	Marketing Specialist	UX Design	$70k–$90k	Bachelor's
118	Working Professional Considering Graduate Degrees	38	Prefer not to say	Canada	Teacher	Healthcare Administration	$30k–$50k	Associate
119	Working Professional Considering Graduate Degrees	49	Non-binary	Germany	Marketing Specialist	AI & Machine Learning	$30k–$50k	Bachelor's
120	Working Professional Considering Graduate Degrees	27	Female	UK	Accountant	Data Science	$30k–$50k	Some College
121	Working Professional Considering Graduate Degrees	48	Male	Canada	Sales Manager	UX Design	$50k–$70k	Master's
122	Working Professional Considering Graduate Degrees	26	Non-binary	US	Accountant	Data Science	$90k–$120k	Bachelor's
123	Working Professional Considering Graduate Degrees	42	Non-binary	Germany	HR Coordinator	Healthcare Administration	$70k–$90k	Some College
124	Career Changer / Adult Learner	54	Non-binary	UK	Accountant	UX Design	$50k–$70k	Some College
125	Career Changer / Adult Learner	32	Non-binary	Canada	Software Engineer	Healthcare Administration	$30k–$50k	Associate
126	Working Professional Considering Graduate Degrees	45	Non-binary	Canada	Teacher	UX Design	$70k–$90k	Master's
127	Career Changer / Adult Learner	24	Male	Australia	Teacher	Data Science	$70k–$90k	Associate
128	Career Changer / Adult Learner	54	Female	UK	HR Coordinator	Cybersecurity	$30k–$50k	Associate
129	Working Professional Considering Graduate Degrees	47	Prefer not to say	India	Technician	Public Policy	$50k–$70k	Bachelor's
130	Career Changer / Adult Learner	30	Female	Canada	Accountant	Healthcare Administration	$30k–$50k	Bachelor's
131	Working Professional Considering Graduate Degrees	36	Prefer not to say	Germany	Nurse	Cybersecurity	$50k–$70k	Associate
132	Working Professional Considering Graduate Degrees	36	Female	Canada	Nurse	UX Design	$120k+	Some College
133	Career Changer / Adult Learner	50	Male	Australia	Technician	Cybersecurity	$70k–$90k	Associate
134	Career Changer / Adult Learner	38	Female	UK	HR Coordinator	Finance	$70k–$90k	Bachelor's
135	Career Changer / Adult Learner	29	Non-binary	India	Software Engineer	Finance	$70k–$90k	Some College
136	Working Professional Considering Graduate Degrees	44	Female	India	Teacher	Cybersecurity	$120k+	Some College
137	Career Changer / Adult Learner	40	Male	Germany	HR Coordinator	Data Science	$30k–$50k	Associate
138	Working Professional Considering Graduate Degrees	49	Prefer not to say	Australia	Technician	AI & Machine Learning	$120k+	Bachelor's
139	Working Professional Considering Graduate Degrees	36	Male	US	Software Engineer	Public Policy	$30k–$50k	Associate
140	Working Professional Considering Graduate Degrees	52	Non-binary	Germany	Sales Manager	UX Design	$70k–$90k	Bachelor's
141	Career Changer / Adult Learner	30	Female	US	Technician	Finance	$30k–$50k	Some College
142	Career Changer / Adult Learner	30	Prefer not to say	Canada	Technician	UX Design	$90k–$120k	Bachelor's
143	Working Professional Considering Graduate Degrees	40	Female	Canada	Technician	UX Design	$90k–$120k	Some College
144	Career Changer / Adult Learner	31	Prefer not to say	Germany	Sales Manager	Finance	$50k–$70k	Bachelor's
145	Working Professional Considering Graduate Degrees	53	Male	US	Technician	Public Policy	$90k–$120k	Master's
146	Working Professional Considering Graduate Degrees	47	Male	Canada	Teacher	Finance	$120k+	Master's
147	Working Professional Considering Graduate Degrees	24	Non-binary	Canada	HR Coordinator	Data Science	$90k–$120k	Master's
148	Career Changer / Adult Learner	25	Prefer not to say	Germany	Marketing Specialist	Data Science	$30k–$50k	Some College
149	Working Professional Considering Graduate Degrees	25	Female	Germany	Teacher	UX Design	$50k–$70k	Master's
150	Working Professional Considering Graduate Degrees	49	Non-binary	India	Technician	MBA	$30k–$50k	Bachelor's
151	Working Professional Considering Graduate Degrees	24	Female	US	Nurse	Finance	$120k+	Some College
152	Career Changer / Adult Learner	50	Male	UK	Software Engineer	UX Design	$120k+	Bachelor's
153	Working Professional Considering Graduate Degrees	25	Female	Canada	HR Coordinator	Cybersecurity	$50k–$70k	Associate
154	Career Changer / Adult Learner	46	Male	US	Sales Manager	Cybersecurity	$90k–$120k	Associate
155	Working Professional Considering Graduate Degrees	44	Prefer not to say	Australia	Nurse	MBA	$90k–$120k	Master's
156	Working Professional Considering Graduate Degrees	31	Female	UK	Sales Manager	Finance	$90k–$120k	Associate
157	Career Changer / Adult Learner	47	Non-binary	Australia	Nurse	Public Policy	$50k–$70k	Master's
158	Working Professional Considering Graduate Degrees	54	Non-binary	Australia	Nurse	Healthcare Administration	$120k+	Associate
159	Working Professional Considering Graduate Degrees	49	Male	UK	Sales Manager	Finance	$90k–$120k	Associate
160	Career Changer / Adult Learner	55	Non-binary	UK	Teacher	MBA	$30k–$50k	Some College
161	Working Professional Considering Graduate Degrees	45	Non-binary	Australia	HR Coordinator	UX Design	$90k–$120k	Associate
162	Working Professional Considering Graduate Degrees	30	Prefer not to say	Australia	Technician	Cybersecurity	$50k–$70k	Master's
163	Working Professional Considering Graduate Degrees	49	Non-binary	Australia	Nurse	Data Science	$70k–$90k	Bachelor's
164	Working Professional Considering Graduate Degrees	40	Non-binary	Australia	Technician	Data Science	$120k+	Some College
165	Working Professional Considering Graduate Degrees	47	Female	US	Teacher	UX Design	$90k–$120k	Master's
166	Career Changer / Adult Learner	40	Non-binary	UK	Software Engineer	Data Science	$90k–$120k	Associate
167	Career Changer / Adult Learner	44	Non-binary	India	Sales Manager	AI & Machine Learning	$30k–$50k	Some College
168	Career Changer / Adult Learner	50	Prefer not to say	Germany	Software Engineer	Data Science	$50k–$70k	Associate
169	Career Changer / Adult Learner	26	Prefer not to say	US	Accountant	MBA	$90k–$120k	Bachelor's
170	Working Professional Considering Graduate Degrees	48	Non-binary	Canada	Software Engineer	Public Policy	$70k–$90k	Associate
171	Working Professional Considering Graduate Degrees	43	Non-binary	India	Nurse	Finance	$50k–$70k	Associate
172	Working Professional Considering Graduate Degrees	43	Male	India	Nurse	Finance	$50k–$70k	Associate
173	Career Changer / Adult Learner	47	Male	India	Nurse	Healthcare Administration	$70k–$90k	Associate
174	Working Professional Considering Graduate Degrees	24	Male	Germany	Sales Manager	Cybersecurity	$30k–$50k	Bachelor's
175	Career Changer / Adult Learner	35	Non-binary	US	Nurse	Public Policy	$120k+	Bachelor's
176	Working Professional Considering Graduate Degrees	50	Female	US	Software Engineer	Healthcare Administration	$90k–$120k	Associate
177	Working Professional Considering Graduate Degrees	51	Female	US	Nurse	Cybersecurity	$90k–$120k	Bachelor's
178	Working Professional Considering Graduate Degrees	33	Non-binary	India	Technician	Public Policy	$50k–$70k	Bachelor's
179	Working Professional Considering Graduate Degrees	53	Non-binary	India	Sales Manager	UX Design	$50k–$70k	Bachelor's
180	Career Changer / Adult Learner	54	Male	Germany	HR Coordinator	Healthcare Administration	$90k–$120k	Some College
181	Career Changer / Adult Learner	55	Prefer not to say	Canada	Marketing Specialist	UX Design	$120k+	Associate
182	Career Changer / Adult Learner	36	Prefer not to say	India	Sales Manager	Data Science	$50k–$70k	Associate
183	Working Professional Considering Graduate Degrees	27	Prefer not to say	Germany	Teacher	AI & Machine Learning	$30k–$50k	Associate
184	Working Professional Considering Graduate Degrees	52	Prefer not to say	Germany	Nurse	MBA	$120k+	Master's
185	Career Changer / Adult Learner	45	Male	Germany	Teacher	Public Policy	$30k–$50k	Associate
186	Career Changer / Adult Learner	39	Male	Germany	Technician	UX Design	$90k–$120k	Bachelor's
187	Career Changer / Adult Learner	52	Male	Germany	Accountant	UX Design	$90k–$120k	Associate
188	Working Professional Considering Graduate Degrees	34	Non-binary	Germany	Teacher	Healthcare Administration	$120k+	Bachelor's
189	Career Changer / Adult Learner	33	Prefer not to say	Germany	Accountant	Healthcare Administration	$30k–$50k	Bachelor's
190	Career Changer / Adult Learner	27	Female	Germany	Teacher	UX Design	$120k+	Bachelor's
191	Career Changer / Adult Learner	46	Non-binary	UK	HR Coordinator	Public Policy	$90k–$120k	Some College
192	Career Changer / Adult Learner	36	Female	Germany	HR Coordinator	MBA	$70k–$90k	Some College
193	Working Professional Considering Graduate Degrees	36	Non-binary	Australia	Sales Manager	Cybersecurity	$120k+	Associate
194	Career Changer / Adult Learner	44	Female	Australia	HR Coordinator	UX Design	$120k+	Associate
195	Career Changer / Adult Learner	52	Prefer not to say	US	Teacher	Cybersecurity	$30k–$50k	Some College
196	Working Professional Considering Graduate Degrees	24	Female	Australia	Software Engineer	MBA	$30k–$50k	Some College
197	Career Changer / Adult Learner	51	Female	India	Software Engineer	Finance	$50k–$70k	Some College
198	Career Changer / Adult Learner	28	Non-binary	Australia	Teacher	AI & Machine Learning	$30k–$50k	Bachelor's
199	Career Changer / Adult Learner	36	Non-binary	US	Accountant	AI & Machine Learning	$50k–$70k	Some College
200	Working Professional Considering Graduate Degrees	39	Non-binary	India	Software Engineer	AI & Machine Learning	$120k+	Bachelor's
201	Career Changer / Adult Learner	42	Female	Germany	Accountant	Public Policy	$120k+	Associate
202	Working Professional Considering Graduate Degrees	28	Non-binary	India	HR Coordinator	Finance	$70k–$90k	Master's
203	Career Changer / Adult Learner	31	Female	US	HR Coordinator	UX Design	$50k–$70k	Master's
204	Working Professional Considering Graduate Degrees	49	Female	Germany	Accountant	Public Policy	$30k–$50k	Master's
205	Working Professional Considering Graduate Degrees	24	Prefer not to say	Canada	Marketing Specialist	Data Science	$70k–$90k	Master's
206	Working Professional Considering Graduate Degrees	33	Male	UK	HR Coordinator	UX Design	$70k–$90k	Some College
207	Working Professional Considering Graduate Degrees	37	Female	Canada	Nurse	MBA	$70k–$90k	Master's
208	Career Changer / Adult Learner	37	Male	India	Sales Manager	Finance	$90k–$120k	Associate
209	Career Changer / Adult Learner	41	Non-binary	Australia	Accountant	Public Policy	$30k–$50k	Bachelor's
210	Career Changer / Adult Learner	54	Non-binary	Australia	Marketing Specialist	Healthcare Administration	$30k–$50k	Some College
211	Career Changer / Adult Learner	36	Prefer not to say	UK	Nurse	Public Policy	$120k+	Associate
212	Career Changer / Adult Learner	38	Non-binary	Germany	Technician	AI & Machine Learning	$70k–$90k	Associate
213	Career Changer / Adult Learner	52	Female	India	Teacher	Data Science	$120k+	Some College
214	Working Professional Considering Graduate Degrees	44	Female	UK	Accountant	Cybersecurity	$50k–$70k	Bachelor's
215	Working Professional Considering Graduate Degrees	45	Non-binary	US	Accountant	Data Science	$30k–$50k	Bachelor's
216	Working Professional Considering Graduate Degrees	55	Prefer not to say	UK	Sales Manager	UX Design	$120k+	Associate
217	Career Changer / Adult Learner	55	Prefer not to say	Germany	Marketing Specialist	Data Science	$30k–$50k	Associate
218	Career Changer / Adult Learner	52	Male	India	Sales Manager	Cybersecurity	$70k–$90k	Bachelor's
219	Career Changer / Adult Learner	32	Female	Australia	Technician	Healthcare Administration	$90k–$120k	Associate
220	Working Professional Considering Graduate Degrees	42	Non-binary	Canada	Teacher	MBA	$30k–$50k	Bachelor's
221	Working Professional Considering Graduate Degrees	46	Male	Canada	Nurse	AI & Machine Learning	$50k–$70k	Master's
222	Working Professional Considering Graduate Degrees	29	Male	UK	Technician	Data Science	$30k–$50k	Associate
223	Career Changer / Adult Learner	25	Female	US	Sales Manager	Data Science	$90k–$120k	Some College
224	Working Professional Considering Graduate Degrees	37	Non-binary	Canada	Marketing Specialist	Finance	$30k–$50k	Some College
225	Career Changer / Adult Learner	52	Male	Australia	Technician	MBA	$90k–$120k	Bachelor's
226	Career Changer / Adult Learner	51	Male	US	Nurse	UX Design	$90k–$120k	Master's
227	Career Changer / Adult Learner	51	Female	UK	HR Coordinator	Public Policy	$120k+	Bachelor's
228	Career Changer / Adult Learner	41	Prefer not to say	UK	Teacher	Public Policy	$90k–$120k	Bachelor's
229	Career Changer / Adult Learner	48	Prefer not to say	Australia	Nurse	UX Design	$50k–$70k	Associate
230	Career Changer / Adult Learner	42	Prefer not to say	UK	Nurse	AI & Machine Learning	$30k–$50k	Master's
231	Career Changer / Adult Learner	41	Female	India	Sales Manager	UX Design	$30k–$50k	Associate
232	Career Changer / Adult Learner	43	Non-binary	Australia	Nurse	Data Science	$90k–$120k	Associate
233	Career Changer / Adult Learner	34	Non-binary	Germany	Sales Manager	MBA	$120k+	Master's
234	Career Changer / Adult Learner	38	Female	India	Technician	UX Design	$50k–$70k	Master's
235	Working Professional Considering Graduate Degrees	52	Non-binary	India	Technician	Finance	$120k+	Associate
236	Working Professional Considering Graduate Degrees	47	Female	US	Sales Manager	Cybersecurity	$120k+	Master's
237	Working Professional Considering Graduate Degrees	37	Non-binary	US	Accountant	Data Science	$30k–$50k	Associate
238	Working Professional Considering Graduate Degrees	26	Prefer not to say	Canada	Sales Manager	Cybersecurity	$30k–$50k	Master's
239	Working Professional Considering Graduate Degrees	53	Male	India	Technician	Healthcare Administration	$70k–$90k	Some College
240	Career Changer / Adult Learner	24	Female	Germany	Sales Manager	Healthcare Administration	$70k–$90k	Bachelor's
241	Career Changer / Adult Learner	40	Prefer not to say	Germany	Accountant	MBA	$70k–$90k	Some College
242	Career Changer / Adult Learner	35	Male	Australia	Technician	Cybersecurity	$30k–$50k	Master's
243	Working Professional Considering Graduate Degrees	47	Non-binary	India	Software Engineer	UX Design	$70k–$90k	Bachelor's
244	Working Professional Considering Graduate Degrees	40	Male	Canada	Software Engineer	Public Policy	$30k–$50k	Bachelor's
245	Working Professional Considering Graduate Degrees	36	Non-binary	Germany	Nurse	Cybersecurity	$120k+	Associate
246	Career Changer / Adult Learner	47	Female	India	HR Coordinator	MBA	$70k–$90k	Master's
247	Career Changer / Adult Learner	43	Female	UK	Marketing Specialist	Healthcare Administration	$120k+	Some College
248	Career Changer / Adult Learner	41	Non-binary	India	Software Engineer	Healthcare Administration	$120k+	Master's
249	Working Professional Considering Graduate Degrees	44	Non-binary	India	Technician	Data Science	$30k–$50k	Associate
250	Working Professional Considering Graduate Degrees	50	Non-binary	Australia	Teacher	AI & Machine Learning	$120k+	Bachelor's
251	Career Changer / Adult Learner	38	Female	India	Software Engineer	UX Design	$90k–$120k	Associate
252	Career Changer / Adult Learner	37	Prefer not to say	Canada	Technician	Data Science	$50k–$70k	Master's
253	Working Professional Considering Graduate Degrees	43	Female	Australia	Teacher	Data Science	$70k–$90k	Some College
254	Career Changer / Adult Learner	52	Non-binary	Canada	Technician	Healthcare Administration	$70k–$90k	Master's
255	Working Professional Considering Graduate Degrees	24	Male	US	Marketing Specialist	UX Design	$120k+	Associate
256	Career Changer / Adult Learner	47	Male	Germany	HR Coordinator	UX Design	$50k–$70k	Associate
257	Working Professional Considering Graduate Degrees	40	Non-binary	India	HR Coordinator	Public Policy	$70k–$90k	Master's
258	Career Changer / Adult Learner	42	Female	India	Teacher	Public Policy	$90k–$120k	Associate
259	Working Professional Considering Graduate Degrees	43	Male	Australia	Technician	Cybersecurity	$90k–$120k	Bachelor's
260	Working Professional Considering Graduate Degrees	42	Male	Germany	Sales Manager	Finance	$30k–$50k	Some College
261	Career Changer / Adult Learner	26	Prefer not to say	Germany	Nurse	MBA	$50k–$70k	Master's
262	Career Changer / Adult Learner	28	Prefer not to say	US	Sales Manager	Cybersecurity	$30k–$50k	Master's
263	Career Changer / Adult Learner	36	Non-binary	Germany	Nurse	Data Science	$70k–$90k	Bachelor's
264	Career Changer / Adult Learner	37	Male	Germany	Technician	UX Design	$70k–$90k	Master's
265	Working Professional Considering Graduate Degrees	37	Prefer not to say	Canada	Marketing Specialist	AI & Machine Learning	$120k+	Master's
266	Career Changer / Adult Learner	33	Prefer not to say	US	HR Coordinator	Finance	$90k–$120k	Some College
267	Working Professional Considering Graduate Degrees	44	Female	Australia	HR Coordinator	UX Design	$90k–$120k	Associate
268	Career Changer / Adult Learner	52	Non-binary	US	Nurse	Finance	$120k+	Master's
269	Working Professional Considering Graduate Degrees	25	Prefer not to say	India	Nurse	Healthcare Administration	$90k–$120k	Bachelor's
