ID	Time Commitment	Budget (per semester)	Career Change?	Target Timeline
268	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years
269	10-15 hours per week	$8,000-$12,000	No	2-3 years
270	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible
271	10-15 hours per week	$10,000-$12,000	Yes	1-2 years
272	5-10 hours per week (1 course)	$6,000-$8,000	Yes	3-5 years
273	10-15 hours per week (1-2 courses)	$8,000-$12,000	No	2-3 years
274	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years
275	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years
276	5-10 hours per week (part-time)	$3,500-$6,000	Yes	1-2 years
277	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
278	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years
279	5-10 hours per week (part-time)	$12,000-$15,000	No	3-5 years or flexible
280	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years
281	5-10 hours per week (part-time)	$4,000-$6,000	Yes	2-3 years
282	10-15 hours per week	$12,000-$15,000	No	2-3 years
283	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
284	5-10 hours per week (part-time)	$10,000-$12,000	No	3-5 years or flexible
285	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years
286	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years
287	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible
288	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years
289	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
290	10-15 hours per week (1-2 courses)	$10,000-$12,000	Yes	2-3 years
291	5-10 hours per week (part-time)	$2,000-$4,000	Yes	2-3 years
292	10-15 hours per week	$6,000-$8,000	No	3-5 years or flexible
293	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years
294	10-15 hours per week	$10,000-$15,000	No	3-5 years or flexible
295	10-15 hours per week	$12,000-$15,000	Yes	2-3 years
296	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	2-3 years
297	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
298	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
299	10-15 hours per week	$10,000-$15,000	No	2-3 years
300	5-10 hours per week (part-time)	$8,000-$12,000	Yes	3-5 years
301	15-20 hours per week (2 courses)	$10,000-$15,000	No	2-3 years
302	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
303	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
304	10-15 hours per week	$5,000-$8,000	No	2-3 years
305	10-15 hours per week	$10,000-$12,000	No	3-5 years or flexible
306	5-10 hours per week (part-time)	$2,500-$4,000	No	2-3 years
307	20+ hours per week (full-time)	$10,000-$15,000	No	2-3 years
308	10-15 hours per week	$10,000-$12,000	Yes	2-3 years
309	5-10 hours per week (1 course)	$4,000-$6,000	Yes	2-3 years
310	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	3-5 years
311	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
312	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	2-3 years
313	10-15 hours per week	$10,000-$12,000	No	2-3 years
314	20+ hours per week (full-time)	$12,000-$15,000	Yes	2-3 years
315	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	2-3 years
316	10-15 hours per week (1-2 courses)	$10,000-$12,000	No	3-5 years or flexible
317	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
318	10-15 hours per week (1-2 courses)	$8,000-$12,000	Yes	2-3 years
319	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years
320	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
321	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
322	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years
323	10-15 hours per week	$10,000-$15,000	Yes	1-2 years
324	10-15 hours per week	$10,000-$15,000	Yes	3-5 years
325	10-15 hours per week	$8,000-$12,000	Yes	2-3 years
326	5-10 hours per week (1 course)	$2,500-$4,000	Yes	1-2 years
327	5-10 hours per week (part-time)	$2,000-$4,000	No	3-5 years or flexible
328	5-10 hours per week (1 course)	$2,500-$4,000	Yes	2-3 years
329	10-15 hours per week	$8,000-$12,000	Yes	3-5 years
330	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years
331	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
332	10-15 hours per week (1-2 courses)	$6,000-$8,000	Yes	2-3 years
333	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
334	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years
335	20+ hours per week (full-time)	$10,000-$12,000	No	2-3 years
336	20+ hours per week (full-time)	$10,000-$15,000	Yes	2-3 years
337	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
338	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
339	5-10 hours per week (1 course)	$10,000-$15,000	No	3-5 years or flexible
340	5-10 hours per week (1 course)	$12,000-$15,000	No	3-5 years or flexible
341	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years
342	5-10 hours per week (1 course)	$2,000-$4,000	No	2-3 years
343	5-10 hours per week (1 course)	$10,000-$12,000	Yes	3-5 years
344	5-10 hours per week (part-time)	$10,000-$12,000	Yes	3-5 years
345	10-15 hours per week	$8,000-$12,000	Yes	3-5 years
346	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years
347	5-10 hours per week (part-time)	$2,500-$4,000	Yes	2-3 years
348	5-10 hours per week (1 course)	$12,000-$15,000	Yes	3-5 years
349	5-10 hours per week (part-time)	$8,000-$12,000	No	3-5 years or flexible
350	5-10 hours per week (part-time)	$6,000-$8,000	Yes	3-5 years
351	5-10 hours per week (1 course)	$4,000-$6,000	No	2-3 years
352	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
353	5-10 hours per week (1 course)	$4,000-$6,000	Yes	3-5 years
354	5-10 hours per week (1 course)	$10,000-$15,000	Yes	3-5 years
355	10-15 hours per week	$5,000-$8,000	Yes	2-3 years
356	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	1-2 years
357	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years
358	5-10 hours per week (part-time)	$10,000-$15,000	No	3-5 years or flexible
359	10-15 hours per week	$12,000-$15,000	No	2-3 years
360	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	3-5 years or flexible
361	10-15 hours per week	$10,000-$12,000	Yes	3-5 years
362	10-15 hours per week (1-2 courses)	$6,000-$8,000	No	3-5 years or flexible
363	5-10 hours per week (1 course)	$8,000-$12,000	No	3-5 years or flexible
364	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
365	10-15 hours per week (1-2 courses)	$10,000-$15,000	Yes	1-2 years
366	5-10 hours per week (part-time)	$3,500-$6,000	Yes	3-5 years
367	10-15 hours per week (1-2 courses)	$5,000-$8,000	No	2-3 years
368	5-10 hours per week (part-time)	$12,000-$15,000	Yes	3-5 years
369	10-15 hours per week	$5,000-$8,000	No	3-5 years or flexible
370	10-15 hours per week	$10,000-$15,000	No	2-3 years
371	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
372	10-15 hours per week (1-2 courses)	$5,000-$8,000	Yes	3-5 years
373	5-10 hours per week (part-time)	$2,500-$4,000	Yes	1-2 years
374	10-15 hours per week	$5,000-$8,000	Yes	1-2 years
375	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
376	5-10 hours per week (1 course)	$2,500-$4,000	No	3-5 years or flexible
377	10-15 hours per week	$10,000-$12,000	No	2-3 years
378	5-10 hours per week (1 course)	$3,500-$6,000	Yes	2-3 years
379	5-10 hours per week (1 course)	$3,500-$6,000	No	2-3 years
380	10-15 hours per week	$6,000-$8,000	Yes	1-2 years
381	10-15 hours per week (1-2 courses)	$10,000-$15,000	No	2-3 years
382	5-10 hours per week (part-time)	$3,500-$6,000	Yes	2-3 years
383	10-15 hours per week (1-2 courses)	$12,000-$15,000	No	3-5 years or flexible
384	5-10 hours per week (part-time)	$2,000-$4,000	No	2-3 years
385	5-10 hours per week (part-time)	$3,500-$6,000	No	3-5 years or flexible
386	5-10 hours per week (part-time)	$2,000-$4,000	Yes	3-5 years
387	10-15 hours per week (1-2 courses)	$12,000-$15,000	Yes	1-2 years
388	5-10 hours per week (1 course)	$2,500-$4,000	No	2-3 years
389	5-10 hours per week (1 course)	$3,500-$6,000	No	3-5 years or flexible
390	5-10 hours per week (1 course)	$4,000-$6,000	No	3-5 years or flexible
